user_id,user_name,user_email,user_phone,user_place
1,user001,user001@gmail.com,0800121001,Nusa Tenggara Barat 
2,user002,user002@gmail.com,0800121002,Jambi 
3,user003,user003@gmail.com,0800121003,DKI Jakarta 
4,user004,user004@gmail.com,0800121004,Banten 
5,user005,user005@gmail.com,0800121005,Jambi 
6,user006,user006@gmail.com,0800121006,Banten 
7,user007,user007@gmail.com,0800121007,Bengkulu 
8,user008,user008@gmail.com,0800121008,Lampung 
9,user009,user009@gmail.com,0800121009,Sumatera Barat 
10,user010,user010@gmail.com,0800121010,Sumatera Selatan 
11,user011,user011@gmail.com,0800121011,Kepulauan Riau 
12,user012,user012@gmail.com,0800121012,Jawa Barat 
13,user013,user013@gmail.com,0800121013,Bengkulu 
14,user014,user014@gmail.com,0800121014,Sumatera Selatan 
15,user015,user015@gmail.com,0800121015,Sumatera Utara 
16,user016,user016@gmail.com,0800121016,Kepulauan Bangka Belitung 
17,user017,user017@gmail.com,0800121017,Bali 
18,user018,user018@gmail.com,0800121018,Nusa Tenggara Timur 
19,user019,user019@gmail.com,0800121019,Nusa Tenggara Barat 
20,user020,user020@gmail.com,0800121020,Sumatera Barat 
21,user021,user021@gmail.com,0800121021,Kepulauan Bangka Belitung 
22,user022,user022@gmail.com,0800121022,Banten 
23,user023,user023@gmail.com,0800121023,Nusa Tenggara Timur 
24,user024,user024@gmail.com,0800121024,DKI Jakarta 
25,user025,user025@gmail.com,0800121025,Nusa Tenggara Barat 
26,user026,user026@gmail.com,0800121026,Lampung 
27,user027,user027@gmail.com,0800121027,Kepulauan Riau 
28,user028,user028@gmail.com,0800121028,DI Yogyakarta 
29,user029,user029@gmail.com,0800121029,Jambi 
30,user030,user030@gmail.com,0800121030,Kepulauan Bangka Belitung 
31,user031,user031@gmail.com,0800121031,Bengkulu 
32,user032,user032@gmail.com,0800121032,DI Yogyakarta 
33,user033,user033@gmail.com,0800121033,Banten 
34,user034,user034@gmail.com,0800121034,Bengkulu 
35,user035,user035@gmail.com,0800121035,Kepulauan Bangka Belitung 
36,user036,user036@gmail.com,0800121036,Nusa Tenggara Timur 
37,user037,user037@gmail.com,0800121037,Riau 
38,user038,user038@gmail.com,0800121038,Nusa Tenggara Barat 
39,user039,user039@gmail.com,0800121039,Banten 
40,user040,user040@gmail.com,0800121040,Sumatera Utara 
41,user041,user041@gmail.com,0800121041,Lampung 
42,user042,user042@gmail.com,0800121042,Jambi 
43,user043,user043@gmail.com,0800121043,Banten 
44,user044,user044@gmail.com,0800121044,Sumatera Barat 
45,user045,user045@gmail.com,0800121045,Bali 
46,user046,user046@gmail.com,0800121046,Nusa Tenggara Timur 
47,user047,user047@gmail.com,0800121047,Bali 
48,user048,user048@gmail.com,0800121048,Jawa Timur 
49,user049,user049@gmail.com,0800121049,Aceh 
50,user050,user050@gmail.com,0800121050,Banten 
51,user051,user051@gmail.com,0800121051,Aceh 
52,user052,user052@gmail.com,0800121052,Kepulauan Bangka Belitung 
53,user053,user053@gmail.com,0800121053,Kepulauan Riau 
54,user054,user054@gmail.com,0800121054,DKI Jakarta 
55,user055,user055@gmail.com,0800121055,Riau 
56,user056,user056@gmail.com,0800121056,DI Yogyakarta 
57,user057,user057@gmail.com,0800121057,Kepulauan Riau 
58,user058,user058@gmail.com,0800121058,Kepulauan Riau 
59,user059,user059@gmail.com,0800121059,Bengkulu 
60,user060,user060@gmail.com,0800121060,Kepulauan Bangka Belitung 
61,user061,user061@gmail.com,0800121061,DKI Jakarta 
62,user062,user062@gmail.com,0800121062,Jawa Timur 
63,user063,user063@gmail.com,0800121063,Banten 
64,user064,user064@gmail.com,0800121064,Sumatera Barat 
65,user065,user065@gmail.com,0800121065,Kepulauan Bangka Belitung 
66,user066,user066@gmail.com,0800121066,DKI Jakarta 
67,user067,user067@gmail.com,0800121067,Jawa Barat 
68,user068,user068@gmail.com,0800121068,DKI Jakarta 
69,user069,user069@gmail.com,0800121069,Sumatera Utara 
70,user070,user070@gmail.com,0800121070,Kepulauan Riau 
71,user071,user071@gmail.com,0800121071,Bengkulu 
72,user072,user072@gmail.com,0800121072,Jambi 
73,user073,user073@gmail.com,0800121073,Sumatera Barat 
74,user074,user074@gmail.com,0800121074,Kepulauan Riau 
75,user075,user075@gmail.com,0800121075,Riau 
76,user076,user076@gmail.com,0800121076,DKI Jakarta 
77,user077,user077@gmail.com,0800121077,Riau 
78,user078,user078@gmail.com,0800121078,Sumatera Utara 
79,user079,user079@gmail.com,0800121079,Sumatera Barat 
80,user080,user080@gmail.com,0800121080,Aceh 
81,user081,user081@gmail.com,0800121081,Sumatera Utara 
82,user082,user082@gmail.com,0800121082,Jawa Timur 
83,user083,user083@gmail.com,0800121083,Lampung 
84,user084,user084@gmail.com,0800121084,Bali 
85,user085,user085@gmail.com,0800121085,Jawa Timur 
86,user086,user086@gmail.com,0800121086,Kepulauan Riau 
87,user087,user087@gmail.com,0800121087,Jawa Timur 
88,user088,user088@gmail.com,0800121088,Riau 
89,user089,user089@gmail.com,0800121089,Sumatera Barat 
90,user090,user090@gmail.com,0800121090,Kepulauan Riau 
91,user091,user091@gmail.com,0800121091,DKI Jakarta 
92,user092,user092@gmail.com,0800121092,Jawa Barat 
93,user093,user093@gmail.com,0800121093,Jambi 
94,user094,user094@gmail.com,0800121094,Aceh 
95,user095,user095@gmail.com,0800121095,Bengkulu 
96,user096,user096@gmail.com,0800121096,Riau 
97,user097,user097@gmail.com,0800121097,Jawa Tengah 
98,user098,user098@gmail.com,0800121098,Nusa Tenggara Timur 
